Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,churn
20-35,Female,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Melody,Night,Sadness or melancholy,leisure time,Playlists,3,Daily,Comedy,Interview,Both,Both,Ok,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","Playlists, Radio",4,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied,0
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",1,Daily,Comedy,Educational,Well known individuals,Longer,Satisfied,0
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",1,Rarely,Comedy,Interview,Both,Shorter,Very Satisfied,0
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Rock,Night,"Relaxation and stress relief, Sadness or melancholy",Study Hours,"recommendations, Radio",3,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok,0
12-20,Male,6 months to 1 year,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Morning,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied,0
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied,0
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time","recommendations, Playlists",4,Once a week,Comedy,Conversational,Both,Longer,Very Satisfied,0
35-60,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Melody,Morning,Sadness or melancholy,"While Traveling, Workout session, leisure time","recommendations, Playlists",4,Once a week,Food and cooking,Interview,Both,Shorter,Satisfied,0
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied,0
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Several times a week,Comedy,Conversational,Both,Both,Very Satisfied,0
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,"recommendations, Playlists",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,0
20-35,Others,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Afternoon,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",Others,4,Once a week,Food and cooking,Story telling,Both,Longer,Satisfied,0
20-35,Female,More than 2 years,Wearable devices,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Night,Sadness or melancholy,Study Hours,recommendations,2,Daily,Lifestyle and Health,Conversational,unknown Podcasters,Both,Very Satisfied,0
12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Melody,Afternoon,Sadness or melancholy,While Traveling,Radio,3,Several times a week,Health and Fitness,Story telling,Both,Longer,Very Satisfied,0
12-20,Female,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,Study Hours,Radio,3,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Longer,Satisfied,0
